sample,site,date,species,richness
CP_201706,CP,201706,Saprolegnia diclina,0
CP_201707,CP,201707,Saprolegnia diclina,0
CP_201708,CP,201708,Saprolegnia diclina,0
CP_201709,CP,201709,Saprolegnia diclina,1
CP_201710,CP,201710,Saprolegnia diclina,0
CP_201711,CP,201711,Saprolegnia diclina,1
CP_201801,CP,201801,Saprolegnia diclina,0
CP_201803,CP,201803,Saprolegnia diclina,0
CP_201805,CP,201805,Saprolegnia diclina,0
CP_201807,CP,201807,Saprolegnia diclina,0
FH_201706,FH,201706,Saprolegnia diclina,0
FH_201707,FH,201707,Saprolegnia diclina,1
FH_201708,FH,201708,Saprolegnia diclina,0
FH_201709,FH,201709,Saprolegnia diclina,0
FH_201710,FH,201710,Saprolegnia diclina,0
FH_201711,FH,201711,Saprolegnia diclina,0
FH_201801,FH,201801,Saprolegnia diclina,0
FH_201803,FH,201803,Saprolegnia diclina,0
FH_201805,FH,201805,Saprolegnia diclina,0
FH_201807,FH,201807,Saprolegnia diclina,0
LK_201706,LK,201706,Saprolegnia diclina,1
LK_201707,LK,201707,Saprolegnia diclina,0
LK_201708,LK,201708,Saprolegnia diclina,0
LK_201709,LK,201709,Saprolegnia diclina,0
LK_201710,LK,201710,Saprolegnia diclina,0
LK_201711,LK,201711,Saprolegnia diclina,0
LK_201801,LK,201801,Saprolegnia diclina,0
LK_201803,LK,201803,Saprolegnia diclina,1
LK_201805,LK,201805,Saprolegnia diclina,1
LK_201807,LK,201807,Saprolegnia diclina,0
LL_201703,LL,201703,Saprolegnia diclina,0
LL_201705,LL,201705,Saprolegnia diclina,1
LL_201706,LL,201706,Saprolegnia diclina,0
LL_201707,LL,201707,Saprolegnia diclina,1
LL_201708,LL,201708,Saprolegnia diclina,1
LL_201709,LL,201709,Saprolegnia diclina,1
LL_201710,LL,201710,Saprolegnia diclina,0
LL_201711,LL,201711,Saprolegnia diclina,0
LL_201801,LL,201801,Saprolegnia diclina,0
LL_201803,LL,201803,Saprolegnia diclina,0
LL_201805,LL,201805,Saprolegnia diclina,1
LL_201807,LL,201807,Saprolegnia diclina,1
PO_201703,PO,201703,Saprolegnia diclina,0
PO_201705,PO,201705,Saprolegnia diclina,1
PO_201706,PO,201706,Saprolegnia diclina,1
PO_201707,PO,201707,Saprolegnia diclina,1
PO_201708,PO,201708,Saprolegnia diclina,1
PO_201709,PO,201709,Saprolegnia diclina,0
PO_201711,PO,201711,Saprolegnia diclina,1
PO_201801,PO,201801,Saprolegnia diclina,0
PO_201803,PO,201803,Saprolegnia diclina,0
PO_201805,PO,201805,Saprolegnia diclina,0
PO_201807,PO,201807,Saprolegnia diclina,1
SA_201703,SA,201703,Saprolegnia diclina,0
SA_201705,SA,201705,Saprolegnia diclina,1
SA_201706,SA,201706,Saprolegnia diclina,1
SA_201707,SA,201707,Saprolegnia diclina,0
SA_201708,SA,201708,Saprolegnia diclina,1
SA_201709,SA,201709,Saprolegnia diclina,0
SA_201711,SA,201711,Saprolegnia diclina,0
SA_201801,SA,201801,Saprolegnia diclina,0
SA_201803,SA,201803,Saprolegnia diclina,0
SA_201805,SA,201805,Saprolegnia diclina,0
SA_201807,SA,201807,Saprolegnia diclina,0
TR_201703,TR,201703,Saprolegnia diclina,0
TR_201705,TR,201705,Saprolegnia diclina,1
TR_201706,TR,201706,Saprolegnia diclina,0
TR_201707,TR,201707,Saprolegnia diclina,1
TR_201708,TR,201708,Saprolegnia diclina,1
TR_201709,TR,201709,Saprolegnia diclina,0
TR_201711,TR,201711,Saprolegnia diclina,0
TR_201801,TR,201801,Saprolegnia diclina,0
TR_201803,TR,201803,Saprolegnia diclina,0
TR_201805,TR,201805,Saprolegnia diclina,1
TR_201807,TR,201807,Saprolegnia diclina,1
TW_201703,TW,201703,Saprolegnia diclina,0
TW_201705,TW,201705,Saprolegnia diclina,1
TW_201706,TW,201706,Saprolegnia diclina,1
TW_201707,TW,201707,Saprolegnia diclina,1
TW_201708,TW,201708,Saprolegnia diclina,1
TW_201709,TW,201709,Saprolegnia diclina,1
TW_201711,TW,201711,Saprolegnia diclina,0
TW_201801,TW,201801,Saprolegnia diclina,0
TW_201803,TW,201803,Saprolegnia diclina,1
TW_201805,TW,201805,Saprolegnia diclina,0
TW_201807,TW,201807,Saprolegnia diclina,0
