Hash,kingdom,phylum,class,order,family,genus,species,EarlyLifeMinerology,AdultMinerology,reliability.minerology,trophic_level_fv,group_fv,benthos
2a467913d5751f2ac544ca7bba4b09ed0813def5,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius sp. BOLD-2016,NA,NA,NA,"3, insect",fly,None
419cd299ee09537cc438eb3509ebd19816190259,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD:ACC1767,NA,NA,NA,"3, insect",fly,None
e553d555493a3cc20f43ffa9a4acf7432e2cb1ff,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Clunio,Clunio tsushimensis,NA,NA,NA,"3, insect",fly,None
3b86a8af70ee3ae734e65aed41f36d6169e3f60a,Metazoa,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Chrysonoma,Chrysonoma sp. ANIC15,NA,NA,NA,"3, insect",undetermined,None
50d5a9979ab596712cae09ab233c9081bb56bfa8,Metazoa,Arthropoda,Hexanauplia,Kentrogonida,Sacculinidae,Loxothylacus,Loxothylacus panopaei,High Mg Calcite,High Mg Calcite,species,undetermined,undetermined,None
fca518302bca98a621bf5bb81b6014527f6b78e1,Metazoa,Arthropoda,Hexanauplia,Kentrogonida,Sacculinidae,Loxothylacus,Loxothylacus panopaei,High Mg Calcite,High Mg Calcite,species,undetermined,undetermined,None
aa1c90f0cfc0b01c5b9b6c924103732546171f01,Metazoa,Arthropoda,Hexanauplia,Kentrogonida,Sacculinidae,Loxothylacus,Loxothylacus panopaei,High Mg Calcite,High Mg Calcite,species,undetermined,undetermined,None
0c80c3d1c3e4ea78badcbf7c4532267fb7f45d81,Metazoa,Arthropoda,Hexanauplia,Kentrogonida,Peltogastridae,Peltogaster,Peltogaster paguri,NA,NA,NA,undetermined,undetermined,None
d37588427486d34075380da02e16453d4ee919c2,Metazoa,Arthropoda,Hexanauplia,Poecilostomatoida,Splanchnotrophidae,Ismaila,Ismaila chaihuiensis,NA,NA,NA,undetermined,undetermined,None
a14d493abcb3b525eb449d241bd2564ca50eba6f,Metazoa,Arthropoda,Insecta,NA,NA,NA,Psocoptera sp. BOLD:ACB0984,NA,NA,NA,"3, insect",undetermined,None
51624ac01fb2d0e89b6f3c399017dd4d8718b836,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,Proctophyllodidae,NA,NA,NA,NA,NA,undetermined,undetermined,None
448756e5f9def73770c548b6b772d9d38d4f5bc2,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,NA,NA,NA,NA,"3, insect",undetermined,None
